Disease	lung cancer	Rank_lung cancer
HG01710	3.1513	0.5731
HG01746	2.8988	0.4956
HG01747	5.445	0.9169
HG01756	2.0065	0.1841
HG01757	4.9993	0.8818
HG01761	1.0742	0.0064
HG01762	1.6164	0.0839
HG01765	4.2043	0.7863
HG01766	5.4953	0.9225
HG01767	5.5656	0.9281
HG01768	1.6847	0.0966
HG01770	3.2265	0.6018
HG01771	2.9538	0.51
HG01773	2.3187	0.2875
HG01775	2.499	0.3458
HG01776	1.7598	0.1226
HG01777	3.4295	0.6402
HG01779	4.5245	0.8303
HG01781	2.9244	0.502
HG01783	1.5319	0.0631
HG01784	3.2772	0.6154
HG01785	2.4015	0.3147
HG01786	1.5888	0.0727
HG01789	2.0164	0.1889
HG01790	2.0726	0.2081
HG01791	2.5226	0.355
HG01794	4.5358	0.8327
HG01795	1.5771	0.0695
HG01796	1.3958	0.0423
HG01797	2.2977	0.2812
HG01798	1.7385	0.1186
HG01799	2.8056	0.4645
HG01800	1.9429	0.1657
HG01801	1.7491	0.1202
HG01802	2.4978	0.345
HG01804	2.9865	0.5216
HG01805	6.3237	0.9641
HG01806	4.5467	0.8335
HG01807	2.7091	0.4273
HG01808	2.9087	0.498
HG01809	5.2441	0.905
HG01810	1.8502	0.1422
HG01811	2.3371	0.2939
HG01812	2.4395	0.3291
HG01813	3.0462	0.5395
HG01815	3.2495	0.6086
HG01816	3.8586	0.7296
HG01817	4.529	0.8315
HG01840	2.1715	0.2368
HG01841	1.7139	0.1082
HG01842	2.149	0.228
HG01843	2.6818	0.4161
HG01844	2.1067	0.2145
HG01845	1.9209	0.1637
HG01846	1.4411	0.0455
HG01847	3.0407	0.5371
HG01848	1.863	0.147
HG01849	2.3646	0.3023
HG01850	2.5847	0.3814
HG01851	5.5019	0.9229
HG01852	2.8497	0.4796
HG01853	1.4454	0.0471
HG01855	2.3812	0.3087
HG01857	2.8519	0.482
HG01858	1.4454	0.0471
HG01859	1.4939	0.0579
HG01860	1.7281	0.1146
HG01861	2.1797	0.242
HG01862	2.2958	0.28
HG01863	1.8402	0.1374
HG01864	1.8647	0.1486
HG01865	2.6586	0.4073
HG01866	2.2778	0.2728
HG01867	1.2723	0.0252
HG01868	4.3202	0.8019
HG01869	1.9895	0.1761
HG01870	2.5018	0.3466
HG01871	6.0141	0.9541
HG01872	4.9145	0.8738
HG01873	4.1917	0.7839
HG01874	2.4818	0.3419
HG01878	1.7683	0.1242
HG01879	2.6629	0.4097
HG01880	3.7311	0.7025
HG01882	2.7932	0.4609
HG01883	7.686	0.988
HG01885	4.3934	0.8119
HG01886	5.6311	0.9317
HG01889	5.4822	0.9197
HG01890	5.9198	0.9481
HG01892	5.806	0.9413
HG01893	2.2637	0.2708
HG01894	2.784	0.4565
HG01896	4.7384	0.8558
HG01912	3.0919	0.5563
HG01914	2.1402	0.2244
HG01915	2.7779	0.4525
HG01917	2.6015	0.3882
HG01918	1.3496	0.0367
HG01920	3.5848	0.6733
HG01921	3.9646	0.7456
HG01923	2.4594	0.3351
HG01924	3.8764	0.7332
HG01926	4.0857	0.7664
HG01927	3.2117	0.595
HG01932	1.1636	0.0116
HG01933	2.0575	0.2021
HG01935	3.1519	0.5735
HG01936	3.0192	0.5304
HG01938	2.1113	0.2165
HG01939	3.662	0.6889
HG01941	1.5221	0.0619
HG01942	2.9037	0.4964
HG01944	4.3284	0.8067
HG01945	8.4317	0.9944
HG01947	1.8089	0.131
HG01948	1.5138	0.0607
HG01950	2.6834	0.4165
HG01951	3.0241	0.5331
HG01953	4.8886	0.871
HG01954	3.1472	0.5719
HG01956	4.8139	0.863
HG01958	4.4066	0.8155
HG01961	2.9743	0.516
HG01965	2.7069	0.4265
HG01967	3.475	0.6502
HG01968	3.4154	0.6374
HG01970	5.648	0.9333
HG01971	2.6203	0.3946
HG01973	5.3806	0.9133
HG01974	5.6407	0.9329
HG01976	1.9134	0.1617
HG01977	2.601	0.3874
